"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IND","HOUSECOST","NOMINAL","IDX2015","A","2009",37.1092499979575,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2010",45.0782244689495,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2011",53.90275,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2012",66.9665000000001,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2013",76.6862500000001,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2014",88.032,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2016",106.68575,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2017",115.658,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2018",122.24825,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2019",126.3095,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2020",129.46475,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2021",132.7485,
"IND","HOUSECOST","NOMINAL","IDX2015","A","2022",136.924999998757,
